Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
2006-07-28 00:00:00.000,20060728,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",6,"Friday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-31 00:00:00.000,20060731,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-02 00:00:00.000,20070702,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-03 00:00:00.000,20070703,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",3,"Tuesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-04 00:00:00.000,20070704,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",4,"Wednesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-05 00:00:00.000,20070705,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",5,"Thursday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-06 00:00:00.000,20070706,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",6,"Friday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-09 00:00:00.000,20070709,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-10 00:00:00.000,20070710,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",3,"Tuesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-11 00:00:00.000,20070711,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",4,"Wednesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-12 00:00:00.000,20070712,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",5,"Thursday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-13 00:00:00.000,20070713,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",6,"Friday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-16 00:00:00.000,20070716,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-17 00:00:00.000,20070717,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",3,"Tuesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-18 00:00:00.000,20070718,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",4,"Wednesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-19 00:00:00.000,20070719,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",5,"Thursday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-20 00:00:00.000,20070720,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",6,"Friday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-23 00:00:00.000,20070723,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-24 00:00:00.000,20070724,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",3,"Tuesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-25 00:00:00.000,20070725,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",4,"Wednesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-26 00:00:00.000,20070726,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",5,"Thursday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-27 00:00:00.000,20070727,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",6,"Friday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-30 00:00:00.000,20070730,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",2,"Monday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2007-07-31 00:00:00.000,20070731,2007,"CY 2007",20073,"Q3-2007",200707,"July 2007",7,"July",3,"Tuesday",2008,"FY 2008",1,"Q1",20081,"Q1-2008",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-01 00:00:00.000,20080701,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",3,"Tuesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-02 00:00:00.000,20080702,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",4,"Wednesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-03 00:00:00.000,20080703,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",5,"Thursday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-04 00:00:00.000,20080704,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",6,"Friday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-07 00:00:00.000,20080707,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-08 00:00:00.000,20080708,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",3,"Tuesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-09 00:00:00.000,20080709,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",4,"Wednesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-10 00:00:00.000,20080710,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",5,"Thursday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-11 00:00:00.000,20080711,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",6,"Friday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-14 00:00:00.000,20080714,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-15 00:00:00.000,20080715,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",3,"Tuesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-16 00:00:00.000,20080716,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",4,"Wednesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-17 00:00:00.000,20080717,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",5,"Thursday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-18 00:00:00.000,20080718,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",6,"Friday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-21 00:00:00.000,20080721,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-22 00:00:00.000,20080722,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",3,"Tuesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-23 00:00:00.000,20080723,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",4,"Wednesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-24 00:00:00.000,20080724,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",5,"Thursday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-25 00:00:00.000,20080725,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",6,"Friday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-28 00:00:00.000,20080728,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",2,"Monday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-29 00:00:00.000,20080729,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",3,"Tuesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-30 00:00:00.000,20080730,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",4,"Wednesday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2008-07-31 00:00:00.000,20080731,2008,"CY 2008",20083,"Q3-2008",200807,"July 2008",7,"July",5,"Thursday",2009,"FY 2009",1,"Q1",20091,"Q1-2009",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-01 00:00:00.000,20090701,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",4,"Wednesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-02 00:00:00.000,20090702,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",5,"Thursday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-03 00:00:00.000,20090703,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",6,"Friday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-06 00:00:00.000,20090706,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",2,"Monday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-07 00:00:00.000,20090707,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",3,"Tuesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-08 00:00:00.000,20090708,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",4,"Wednesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-09 00:00:00.000,20090709,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",5,"Thursday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-10 00:00:00.000,20090710,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",6,"Friday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-13 00:00:00.000,20090713,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",2,"Monday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-14 00:00:00.000,20090714,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",3,"Tuesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-15 00:00:00.000,20090715,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",4,"Wednesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-16 00:00:00.000,20090716,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",5,"Thursday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-17 00:00:00.000,20090717,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",6,"Friday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-20 00:00:00.000,20090720,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",2,"Monday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-21 00:00:00.000,20090721,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",3,"Tuesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-22 00:00:00.000,20090722,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",4,"Wednesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-23 00:00:00.000,20090723,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",5,"Thursday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-24 00:00:00.000,20090724,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",6,"Friday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-27 00:00:00.000,20090727,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",2,"Monday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-28 00:00:00.000,20090728,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",3,"Tuesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-29 00:00:00.000,20090729,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",4,"Wednesday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-30 00:00:00.000,20090730,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",5,"Thursday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2009-07-31 00:00:00.000,20090731,2009,"CY 2009",20093,"Q3-2009",200907,"July 2009",7,"July",6,"Friday",2010,"FY 2010",1,"Q1",20101,"Q1-2010",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2010-07-01 00:00:00.000,20100701,2010,"CY 2010",20103,"Q3-2010",201007,"July 2010",7,"July",5,"Thursday",2011,"FY 2011",1,"Q1",20111,"Q1-2011",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2010-07-02 00:00:00.000,20100702,2010,"CY 2010",20103,"Q3-2010",201007,"July 2010",7,"July",6,"Friday",2011,"FY 2011",1,"Q1",20111,"Q1-2011",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2010-07-05 00:00:00.000,20100705,2010,"CY 2010",20103,"Q3-2010",201007,"July 2010",7,"July",2,"Monday",2011,"FY 2011",1,"Q1",20111,"Q1-2011",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2010-07-06 00:00:00.000,20100706,2010,"CY 2010",20103,"Q3-2010",201007,"July 2010",7,"July",3,"Tuesday",2011,"FY 2011",1,"Q1",20111,"Q1-2011",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
